W/L, faction, game-mode, map, lion, conv, rp, boosts
d, swe, conquest2, sinai, 2176, 581, 796
v, ussr, ground-strike, saipan, 8193, 929, 1283
v, ussr, ground-strike, saipan, 3,033, 479, 782
v, ussr, ground-strike, saipan, 4079, 1163, 890, +30%-rp
v, ussr, ground-strike, saipan, 357, 593, 835, +30%-rp
v, ussr, ground-strike, saipan, 3657, 1386, 1529, +30%-rp
v, swe, conquest1, poland, 554, 724, 1243, +30%-rp
v, swe, conquest2, poland, 2020, 1587, 2024, +30%-rp
d, domination, green-mountains-gulf, 156, 207, 295, +30%-rp
d, swe, conquest1, normandy, 226, 338, 584, +30%-rp
d, ita, air-assault, stalingrad, 2087, 486, 936
v, swe, tank-assault, sinai, 4990, 1354, 580
v, swe, conquest1, frozen-pass, 2770, 500, 942, +30%-rp, +300%-lion
v, swe, domination, sinai, 937, 1249, 1669, +30%-rp
v, swe, domination, poland, 1643, 1283, 2110, +30%-rp
d, swe, domination, seversk-13, 120, 721, 922, +300-rp, +15%-lion
d, swe, tank-assualt, maginot-line, 1301, 303, 393
v, ita, air-assault, stalingrad, 4309, 1170, 1620
d, swe, domination, eastern-europe, 713, 1222, 1532, +300%-rp, +15%-lion
v, swe, conquest1, japan, 1101, 389, 505, +109%-lion
